policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp
P1405,District Higher Education Education Reform 70,Secondary,Tamil Nadu,2025,Disadvantaged Groups,Proposed,0.15,"EdTech Companies, Universities",0.512,This policy aims to improve early childhood development in Secondary through grants to schools in Tamil Nadu.,Increase reach by 33% in 2 years.,This policy aims to improve early childhood development in Secondary through grants to schools in Tamil Nadu. Goals: Increase reach by 33% in 2 years.,"district higher education education reform 70. this policy aims to improve early childhood development in secondary through grants to schools in tamil nadu. goals: increase reach by 33% in 2 years.. stakeholders: edtech companies, universities"
P1276,State Primary Education Reform 68,Primary,Rajasthan,2021,All,Pilot,15.38,"State Education Department, Private Partners",0.75,This policy aims to improve infrastructure in Primary through grants to schools in Rajasthan.,Increase reach by 29% in 5 years.,This policy aims to improve infrastructure in Primary through grants to schools in Rajasthan. Goals: Increase reach by 29% in 5 years.,"state primary education reform 68. this policy aims to improve infrastructure in primary through grants to schools in rajasthan. goals: increase reach by 29% in 5 years.. stakeholders: state education department, private partners"
P1455,National Higher Education Education Reform 22,Higher Education,Uttar Pradesh,2022,Rural Students,Under Review,1.17,"Teachers' Unions, Community Leaders",0.506,This policy aims to improve infrastructure in Higher Education through scholarship schemes in Uttar Pradesh.,Increase reach by 15% in 5 years.,This policy aims to improve infrastructure in Higher Education through scholarship schemes in Uttar Pradesh. Goals: Increase reach by 15% in 5 years.,"national higher education education reform 22. this policy aims to improve infrastructure in higher education through scholarship schemes in uttar pradesh. goals: increase reach by 15% in 5 years.. stakeholders: teachers' unions, community leaders"
P1142,State Secondary Education Reform 97,Higher Education,Kerala,2019,Disadvantaged Groups,Proposed,3.44,"State Education Department, Private Partners",0.576,This policy aims to improve vocational skills in Higher Education through grants to schools in Kerala.,Increase reach by 16% in 4 years.,This policy aims to improve vocational skills in Higher Education through grants to schools in Kerala. Goals: Increase reach by 16% in 4 years.,"state secondary education reform 97. this policy aims to improve vocational skills in higher education through grants to schools in kerala. goals: increase reach by 16% in 4 years.. stakeholders: state education department, private partners"
P1366,National Secondary Education Reform 26,Higher Education,Tamil Nadu,2016,Students,Proposed,19.23,"State Education Department, Private Partners",0.873,This policy aims to improve teacher quality in Higher Education through grants to schools in Tamil Nadu.,Increase reach by 26% in 1 years.,This policy aims to improve teacher quality in Higher Education through grants to schools in Tamil Nadu. Goals: Increase reach by 26% in 1 years.,"national secondary education reform 26. this policy aims to improve teacher quality in higher education through grants to schools in tamil nadu. goals: increase reach by 26% in 1 years.. stakeholders: state education department, private partners"
P1068,State Higher Education Education Reform 56,Secondary,Uttar Pradesh,2023,Urban Students,Implemented,7.63,"EdTech Companies, Universities",0.875,This policy aims to improve early childhood development in Secondary through public-private partnerships in Uttar Pradesh.,Increase reach by 20% in 4 years.,This policy aims to improve early childhood development in Secondary through public-private partnerships in Uttar Pradesh. Goals: Increase reach by 20% in 4 years.,"state higher education education reform 56. this policy aims to improve early childhood development in secondary through public-private partnerships in uttar pradesh. goals: increase reach by 20% in 4 years.. stakeholders: edtech companies, universities"
P1211,District Vocational Education Reform 29,Higher Education,Uttar Pradesh,2021,Disadvantaged Groups,Under Review,86.08,"EdTech Companies, Universities",0.432,This policy aims to improve early childhood development in Higher Education through public-private partnerships in Uttar Pradesh.,Increase reach by 8% in 2 years.,This policy aims to improve early childhood development in Higher Education through public-private partnerships in Uttar Pradesh. Goals: Increase reach by 8% in 2 years.,"district vocational education reform 29. this policy aims to improve early childhood development in higher education through public-private partnerships in uttar pradesh. goals: increase reach by 8% in 2 years.. stakeholders: edtech companies, universities"
P1169,State Primary Education Reform 27,Early Childhood,Tamil Nadu,2021,Students,Under Review,13.46,"EdTech Companies, Universities",0.843,This policy aims to improve digital access in Early Childhood through public-private partnerships in Tamil Nadu.,Increase reach by 39% in 3 years.,This policy aims to improve digital access in Early Childhood through public-private partnerships in Tamil Nadu. Goals: Increase reach by 39% in 3 years.,"state primary education reform 27. this policy aims to improve digital access in early childhood through public-private partnerships in tamil nadu. goals: increase reach by 39% in 3 years.. stakeholders: edtech companies, universities"
P1494,State Higher Education Education Reform 37,Secondary,Delhi,2025,Women,Implemented,0.2,"State Education Department, Private Partners",0.271,This policy aims to improve infrastructure in Secondary through digital device distribution in Delhi.,Increase reach by 34% in 4 years.,This policy aims to improve infrastructure in Secondary through digital device distribution in Delhi. Goals: Increase reach by 34% in 4 years.,"state higher education education reform 37. this policy aims to improve infrastructure in secondary through digital device distribution in delhi. goals: increase reach by 34% in 4 years.. stakeholders: state education department, private partners"
P1376,District Early Childhood Education Reform 61,Higher Education,Tamil Nadu,2021,Urban Students,Pilot,7.46,"State Education Department, Private Partners",0.129,This policy aims to improve learning outcomes in Higher Education through digital device distribution in Tamil Nadu.,Increase reach by 31% in 2 years.,This policy aims to improve learning outcomes in Higher Education through digital device distribution in Tamil Nadu. Goals: Increase reach by 31% in 2 years.,"district early childhood education reform 61. this policy aims to improve learning outcomes in higher education through digital device distribution in tamil nadu. goals: increase reach by 31% in 2 years.. stakeholders: state education department, private partners"
P1401,State Higher Education Education Reform 43,Secondary,Rajasthan,2016,All,Pilot,6.39,"Central Government, Donors",0.187,This policy aims to improve teacher quality in Secondary through public-private partnerships in Rajasthan.,Increase reach by 34% in 4 years.,This policy aims to improve teacher quality in Secondary through public-private partnerships in Rajasthan. Goals: Increase reach by 34% in 4 years.,"state higher education education reform 43. this policy aims to improve teacher quality in secondary through public-private partnerships in rajasthan. goals: increase reach by 34% in 4 years.. stakeholders: central government, donors"
P1273,State Higher Education Education Reform 7,Secondary,Gujarat,2020,Women,Pilot,77.27,"Ministry of Education, Local NGOs",0.187,This policy aims to improve vocational skills in Secondary through teacher training programs in Gujarat.,Increase reach by 5% in 3 years.,This policy aims to improve vocational skills in Secondary through teacher training programs in Gujarat. Goals: Increase reach by 5% in 3 years.,"state higher education education reform 7. this policy aims to improve vocational skills in secondary through teacher training programs in gujarat. goals: increase reach by 5% in 3 years.. stakeholders: ministry of education, local ngos"
P1110,National Secondary Education Reform 38,Vocational,Karnataka,2024,Rural Students,Implemented,0.17,"Ministry of Education, Local NGOs",0.566,This policy aims to improve teacher quality in Vocational through grants to schools in Karnataka.,Increase reach by 38% in 5 years.,This policy aims to improve teacher quality in Vocational through grants to schools in Karnataka. Goals: Increase reach by 38% in 5 years.,"national secondary education reform 38. this policy aims to improve teacher quality in vocational through grants to schools in karnataka. goals: increase reach by 38% in 5 years.. stakeholders: ministry of education, local ngos"
P1249,District Secondary Education Reform 77,Primary,Uttar Pradesh,2019,Women,Under Review,53.9,"Central Government, Donors",0.858,This policy aims to improve digital access in Primary through digital device distribution in Uttar Pradesh.,Increase reach by 18% in 4 years.,This policy aims to improve digital access in Primary through digital device distribution in Uttar Pradesh. Goals: Increase reach by 18% in 4 years.,"district secondary education reform 77. this policy aims to improve digital access in primary through digital device distribution in uttar pradesh. goals: increase reach by 18% in 4 years.. stakeholders: central government, donors"
P1146,State Secondary Education Reform 1,Higher Education,West Bengal,2018,Urban Students,Under Review,44.16,"EdTech Companies, Universities",0.11,This policy aims to improve vocational skills in Higher Education through digital device distribution in West Bengal.,Increase reach by 20% in 1 years.,This policy aims to improve vocational skills in Higher Education through digital device distribution in West Bengal. Goals: Increase reach by 20% in 1 years.,"state secondary education reform 1. this policy aims to improve vocational skills in higher education through digital device distribution in west bengal. goals: increase reach by 20% in 1 years.. stakeholders: edtech companies, universities"
P1093,State Early Childhood Education Reform 52,Vocational,Delhi,2016,Urban Students,Proposed,33.75,"EdTech Companies, Universities",0.509,This policy aims to improve vocational skills in Vocational through digital device distribution in Delhi.,Increase reach by 10% in 4 years.,This policy aims to improve vocational skills in Vocational through digital device distribution in Delhi. Goals: Increase reach by 10% in 4 years.,"state early childhood education reform 52. this policy aims to improve vocational skills in vocational through digital device distribution in delhi. goals: increase reach by 10% in 4 years.. stakeholders: edtech companies, universities"
P1153,National Higher Education Education Reform 60,Early Childhood,West Bengal,2023,Urban Students,Implemented,11.91,"State Education Department, Private Partners",0.345,This policy aims to improve vocational skills in Early Childhood through grants to schools in West Bengal.,Increase reach by 7% in 4 years.,This policy aims to improve vocational skills in Early Childhood through grants to schools in West Bengal. Goals: Increase reach by 7% in 4 years.,"national higher education education reform 60. this policy aims to improve vocational skills in early childhood through grants to schools in west bengal. goals: increase reach by 7% in 4 years.. stakeholders: state education department, private partners"
P1368,State Early Childhood Education Reform 85,Early Childhood,Karnataka,2019,Teachers,Proposed,36.06,"EdTech Companies, Universities",0.341,This policy aims to improve digital access in Early Childhood through public-private partnerships in Karnataka.,Increase reach by 5% in 1 years.,This policy aims to improve digital access in Early Childhood through public-private partnerships in Karnataka. Goals: Increase reach by 5% in 1 years.,"state early childhood education reform 85. this policy aims to improve digital access in early childhood through public-private partnerships in karnataka. goals: increase reach by 5% in 1 years.. stakeholders: edtech companies, universities"
P1468,State Higher Education Education Reform 68,Primary,Rajasthan,2018,All,Implemented,3.19,"State Education Department, Private Partners",0.584,This policy aims to improve teacher quality in Primary through public-private partnerships in Rajasthan.,Increase reach by 24% in 3 years.,This policy aims to improve teacher quality in Primary through public-private partnerships in Rajasthan. Goals: Increase reach by 24% in 3 years.,"state higher education education reform 68. this policy aims to improve teacher quality in primary through public-private partnerships in rajasthan. goals: increase reach by 24% in 3 years.. stakeholders: state education department, private partners"
P1084,State Vocational Education Reform 30,Vocational,Kerala,2022,Urban Students,Pilot,1.91,"Teachers' Unions, Community Leaders",0.692,This policy aims to improve teacher quality in Vocational through teacher training programs in Kerala.,Increase reach by 35% in 1 years.,This policy aims to improve teacher quality in Vocational through teacher training programs in Kerala. Goals: Increase reach by 35% in 1 years.,"state vocational education reform 30. this policy aims to improve teacher quality in vocational through teacher training programs in kerala. goals: increase reach by 35% in 1 years.. stakeholders: teachers' unions, community leaders"
P1246,National Secondary Education Reform 5,Vocational,Karnataka,2020,Disadvantaged Groups,Implemented,49.47,"Central Government, Donors",0.55,This policy aims to improve vocational skills in Vocational through grants to schools in Karnataka.,Increase reach by 6% in 2 years.,This policy aims to improve vocational skills in Vocational through grants to schools in Karnataka. Goals: Increase reach by 6% in 2 years.,"national secondary education reform 5. this policy aims to improve vocational skills in vocational through grants to schools in karnataka. goals: increase reach by 6% in 2 years.. stakeholders: central government, donors"
P1166,National Primary Education Reform 13,Early Childhood,Tamil Nadu,2018,Teachers,Under Review,41.39,"Central Government, Donors",0.17,This policy aims to improve digital access in Early Childhood through curriculum reform in Tamil Nadu.,Increase reach by 20% in 2 years.,This policy aims to improve digital access in Early Childhood through curriculum reform in Tamil Nadu. Goals: Increase reach by 20% in 2 years.,"national primary education reform 13. this policy aims to improve digital access in early childhood through curriculum reform in tamil nadu. goals: increase reach by 20% in 2 years.. stakeholders: central government, donors"
P1164,National Primary Education Reform 86,Primary,Karnataka,2021,Teachers,Implemented,3.68,"Ministry of Education, Local NGOs",0.295,This policy aims to improve digital access in Primary through digital device distribution in Karnataka.,Increase reach by 8% in 5 years.,This policy aims to improve digital access in Primary through digital device distribution in Karnataka. Goals: Increase reach by 8% in 5 years.,"national primary education reform 86. this policy aims to improve digital access in primary through digital device distribution in karnataka. goals: increase reach by 8% in 5 years.. stakeholders: ministry of education, local ngos"
P1200,National Secondary Education Reform 50,Primary,Maharashtra,2016,Rural Students,Under Review,30.97,"State Education Department, Private Partners",0.671,This policy aims to improve vocational skills in Primary through teacher training programs in Maharashtra.,Increase reach by 9% in 5 years.,This policy aims to improve vocational skills in Primary through teacher training programs in Maharashtra. Goals: Increase reach by 9% in 5 years.,"national secondary education reform 50. this policy aims to improve vocational skills in primary through teacher training programs in maharashtra. goals: increase reach by 9% in 5 years.. stakeholders: state education department, private partners"
P1229,National Early Childhood Education Reform 89,Early Childhood,Kerala,2018,Disadvantaged Groups,Implemented,0.22,"Teachers' Unions, Community Leaders",0.213,This policy aims to improve vocational skills in Early Childhood through grants to schools in Kerala.,Increase reach by 30% in 5 years.,This policy aims to improve vocational skills in Early Childhood through grants to schools in Kerala. Goals: Increase reach by 30% in 5 years.,"national early childhood education reform 89. this policy aims to improve vocational skills in early childhood through grants to schools in kerala. goals: increase reach by 30% in 5 years.. stakeholders: teachers' unions, community leaders"
P1075,State Higher Education Education Reform 14,Secondary,Gujarat,2015,Women,Under Review,14.71,"Central Government, Donors",0.909,This policy aims to improve teacher quality in Secondary through public-private partnerships in Gujarat.,Increase reach by 31% in 1 years.,This policy aims to improve teacher quality in Secondary through public-private partnerships in Gujarat. Goals: Increase reach by 31% in 1 years.,"state higher education education reform 14. this policy aims to improve teacher quality in secondary through public-private partnerships in gujarat. goals: increase reach by 31% in 1 years.. stakeholders: central government, donors"
P1479,National Vocational Education Reform 87,Primary,West Bengal,2022,Women,Proposed,1.15,"Central Government, Donors",0.719,This policy aims to improve learning outcomes in Primary through public-private partnerships in West Bengal.,Increase reach by 15% in 1 years.,This policy aims to improve learning outcomes in Primary through public-private partnerships in West Bengal. Goals: Increase reach by 15% in 1 years.,"national vocational education reform 87. this policy aims to improve learning outcomes in primary through public-private partnerships in west bengal. goals: increase reach by 15% in 1 years.. stakeholders: central government, donors"
P1359,National Early Childhood Education Reform 52,Early Childhood,Uttar Pradesh,2016,Disadvantaged Groups,Under Review,0.17,"EdTech Companies, Universities",0.829,This policy aims to improve learning outcomes in Early Childhood through scholarship schemes in Uttar Pradesh.,Increase reach by 24% in 1 years.,This policy aims to improve learning outcomes in Early Childhood through scholarship schemes in Uttar Pradesh. Goals: Increase reach by 24% in 1 years.,"national early childhood education reform 52. this policy aims to improve learning outcomes in early childhood through scholarship schemes in uttar pradesh. goals: increase reach by 24% in 1 years.. stakeholders: edtech companies, universities"
P1251,State Higher Education Education Reform 25,Secondary,Rajasthan,2018,Students,Pilot,74.46,"Ministry of Education, Local NGOs",0.683,This policy aims to improve teacher quality in Secondary through digital device distribution in Rajasthan.,Increase reach by 31% in 4 years.,This policy aims to improve teacher quality in Secondary through digital device distribution in Rajasthan. Goals: Increase reach by 31% in 4 years.,"state higher education education reform 25. this policy aims to improve teacher quality in secondary through digital device distribution in rajasthan. goals: increase reach by 31% in 4 years.. stakeholders: ministry of education, local ngos"
P1120,National Secondary Education Reform 10,Vocational,Tamil Nadu,2022,Students,Under Review,76.76,"EdTech Companies, Universities",0.583,This policy aims to improve teacher quality in Vocational through teacher training programs in Tamil Nadu.,Increase reach by 16% in 3 years.,This policy aims to improve teacher quality in Vocational through teacher training programs in Tamil Nadu. Goals: Increase reach by 16% in 3 years.,"national secondary education reform 10. this policy aims to improve teacher quality in vocational through teacher training programs in tamil nadu. goals: increase reach by 16% in 3 years.. stakeholders: edtech companies, universities"
P1311,State Secondary Education Reform 1,Primary,Punjab,2023,Students,Proposed,0.36,"Teachers' Unions, Community Leaders",0.464,This policy aims to improve learning outcomes in Primary through teacher training programs in Punjab.,Increase reach by 32% in 5 years.,This policy aims to improve learning outcomes in Primary through teacher training programs in Punjab. Goals: Increase reach by 32% in 5 years.,"state secondary education reform 1. this policy aims to improve learning outcomes in primary through teacher training programs in punjab. goals: increase reach by 32% in 5 years.. stakeholders: teachers' unions, community leaders"
P1300,District Secondary Education Reform 97,Early Childhood,Tamil Nadu,2022,Teachers,Implemented,16.04,"Central Government, Donors",0.936,This policy aims to improve learning outcomes in Early Childhood through teacher training programs in Tamil Nadu.,Increase reach by 36% in 2 years.,This policy aims to improve learning outcomes in Early Childhood through teacher training programs in Tamil Nadu. Goals: Increase reach by 36% in 2 years.,"district secondary education reform 97. this policy aims to improve learning outcomes in early childhood through teacher training programs in tamil nadu. goals: increase reach by 36% in 2 years.. stakeholders: central government, donors"
P1256,District Primary Education Reform 1,Vocational,Delhi,2018,All,Implemented,12.34,"Ministry of Education, Local NGOs",0.215,This policy aims to improve digital access in Vocational through public-private partnerships in Delhi.,Increase reach by 32% in 4 years.,This policy aims to improve digital access in Vocational through public-private partnerships in Delhi. Goals: Increase reach by 32% in 4 years.,"district primary education reform 1. this policy aims to improve digital access in vocational through public-private partnerships in delhi. goals: increase reach by 32% in 4 years.. stakeholders: ministry of education, local ngos"
P1355,National Secondary Education Reform 71,Vocational,Rajasthan,2020,Disadvantaged Groups,Implemented,0.47,"Teachers' Unions, Community Leaders",0.59,This policy aims to improve teacher quality in Vocational through digital device distribution in Rajasthan.,Increase reach by 31% in 4 years.,This policy aims to improve teacher quality in Vocational through digital device distribution in Rajasthan. Goals: Increase reach by 31% in 4 years.,"national secondary education reform 71. this policy aims to improve teacher quality in vocational through digital device distribution in rajasthan. goals: increase reach by 31% in 4 years.. stakeholders: teachers' unions, community leaders"
P1400,National Secondary Education Reform 4,Vocational,Karnataka,2016,Urban Students,Proposed,2.42,"State Education Department, Private Partners",0.727,This policy aims to improve early childhood development in Vocational through public-private partnerships in Karnataka.,Increase reach by 33% in 5 years.,This policy aims to improve early childhood development in Vocational through public-private partnerships in Karnataka. Goals: Increase reach by 33% in 5 years.,"national secondary education reform 4. this policy aims to improve early childhood development in vocational through public-private partnerships in karnataka. goals: increase reach by 33% in 5 years.. stakeholders: state education department, private partners"
P1226,National Higher Education Education Reform 73,Early Childhood,Tamil Nadu,2024,Teachers,Pilot,34.04,"Ministry of Education, Local NGOs",0.18,This policy aims to improve infrastructure in Early Childhood through scholarship schemes in Tamil Nadu.,Increase reach by 19% in 1 years.,This policy aims to improve infrastructure in Early Childhood through scholarship schemes in Tamil Nadu. Goals: Increase reach by 19% in 1 years.,"national higher education education reform 73. this policy aims to improve infrastructure in early childhood through scholarship schemes in tamil nadu. goals: increase reach by 19% in 1 years.. stakeholders: ministry of education, local ngos"
P1354,District Vocational Education Reform 25,Secondary,Rajasthan,2025,Teachers,Implemented,0.4,"EdTech Companies, Universities",0.419,This policy aims to improve digital access in Secondary through public-private partnerships in Rajasthan.,Increase reach by 32% in 1 years.,This policy aims to improve digital access in Secondary through public-private partnerships in Rajasthan. Goals: Increase reach by 32% in 1 years.,"district vocational education reform 25. this policy aims to improve digital access in secondary through public-private partnerships in rajasthan. goals: increase reach by 32% in 1 years.. stakeholders: edtech companies, universities"
P1235,National Vocational Education Reform 74,Early Childhood,Gujarat,2017,Students,Under Review,2.42,"Teachers' Unions, Community Leaders",0.833,This policy aims to improve vocational skills in Early Childhood through scholarship schemes in Gujarat.,Increase reach by 35% in 2 years.,This policy aims to improve vocational skills in Early Childhood through scholarship schemes in Gujarat. Goals: Increase reach by 35% in 2 years.,"national vocational education reform 74. this policy aims to improve vocational skills in early childhood through scholarship schemes in gujarat. goals: increase reach by 35% in 2 years.. stakeholders: teachers' unions, community leaders"
P1383,National Secondary Education Reform 99,Primary,West Bengal,2019,Rural Students,Pilot,70.12,"Ministry of Education, Local NGOs",0.9,This policy aims to improve infrastructure in Primary through grants to schools in West Bengal.,Increase reach by 21% in 1 years.,This policy aims to improve infrastructure in Primary through grants to schools in West Bengal. Goals: Increase reach by 21% in 1 years.,"national secondary education reform 99. this policy aims to improve infrastructure in primary through grants to schools in west bengal. goals: increase reach by 21% in 1 years.. stakeholders: ministry of education, local ngos"
P1275,State Secondary Education Reform 59,Secondary,Kerala,2016,All,Pilot,4.67,"EdTech Companies, Universities",0.21,This policy aims to improve digital access in Secondary through curriculum reform in Kerala.,Increase reach by 37% in 2 years.,This policy aims to improve digital access in Secondary through curriculum reform in Kerala. Goals: Increase reach by 37% in 2 years.,"state secondary education reform 59. this policy aims to improve digital access in secondary through curriculum reform in kerala. goals: increase reach by 37% in 2 years.. stakeholders: edtech companies, universities"
P1037,District Primary Education Reform 98,Early Childhood,West Bengal,2022,Students,Under Review,80.28,"Central Government, Donors",0.579,This policy aims to improve vocational skills in Early Childhood through scholarship schemes in West Bengal.,Increase reach by 19% in 4 years.,This policy aims to improve vocational skills in Early Childhood through scholarship schemes in West Bengal. Goals: Increase reach by 19% in 4 years.,"district primary education reform 98. this policy aims to improve vocational skills in early childhood through scholarship schemes in west bengal. goals: increase reach by 19% in 4 years.. stakeholders: central government, donors"
P1197,District Primary Education Reform 6,Primary,Gujarat,2015,Students,Implemented,0.28,"Central Government, Donors",0.28,This policy aims to improve vocational skills in Primary through teacher training programs in Gujarat.,Increase reach by 24% in 2 years.,This policy aims to improve vocational skills in Primary through teacher training programs in Gujarat. Goals: Increase reach by 24% in 2 years.,"district primary education reform 6. this policy aims to improve vocational skills in primary through teacher training programs in gujarat. goals: increase reach by 24% in 2 years.. stakeholders: central government, donors"
P1140,District Vocational Education Reform 28,Secondary,Rajasthan,2019,Women,Under Review,6.64,"EdTech Companies, Universities",0.313,This policy aims to improve learning outcomes in Secondary through public-private partnerships in Rajasthan.,Increase reach by 38% in 2 years.,This policy aims to improve learning outcomes in Secondary through public-private partnerships in Rajasthan. Goals: Increase reach by 38% in 2 years.,"district vocational education reform 28. this policy aims to improve learning outcomes in secondary through public-private partnerships in rajasthan. goals: increase reach by 38% in 2 years.. stakeholders: edtech companies, universities"
P1365,State Secondary Education Reform 42,Higher Education,Punjab,2025,Students,Under Review,19.81,"EdTech Companies, Universities",0.831,This policy aims to improve digital access in Higher Education through scholarship schemes in Punjab.,Increase reach by 14% in 4 years.,This policy aims to improve digital access in Higher Education through scholarship schemes in Punjab. Goals: Increase reach by 14% in 4 years.,"state secondary education reform 42. this policy aims to improve digital access in higher education through scholarship schemes in punjab. goals: increase reach by 14% in 4 years.. stakeholders: edtech companies, universities"
P1245,State Primary Education Reform 66,Secondary,Maharashtra,2019,Disadvantaged Groups,Pilot,16.71,"EdTech Companies, Universities",0.883,This policy aims to improve learning outcomes in Secondary through teacher training programs in Maharashtra.,Increase reach by 17% in 2 years.,This policy aims to improve learning outcomes in Secondary through teacher training programs in Maharashtra. Goals: Increase reach by 17% in 2 years.,"state primary education reform 66. this policy aims to improve learning outcomes in secondary through teacher training programs in maharashtra. goals: increase reach by 17% in 2 years.. stakeholders: edtech companies, universities"
P1440,District Primary Education Reform 10,Secondary,Gujarat,2024,Women,Under Review,0.18,"Teachers' Unions, Community Leaders",0.305,This policy aims to improve learning outcomes in Secondary through digital device distribution in Gujarat.,Increase reach by 19% in 1 years.,This policy aims to improve learning outcomes in Secondary through digital device distribution in Gujarat. Goals: Increase reach by 19% in 1 years.,"district primary education reform 10. this policy aims to improve learning outcomes in secondary through digital device distribution in gujarat. goals: increase reach by 19% in 1 years.. stakeholders: teachers' unions, community leaders"
P1287,National Vocational Education Reform 33,Early Childhood,Delhi,2015,Women,Under Review,0.29,"Teachers' Unions, Community Leaders",0.899,This policy aims to improve infrastructure in Early Childhood through digital device distribution in Delhi.,Increase reach by 37% in 1 years.,This policy aims to improve infrastructure in Early Childhood through digital device distribution in Delhi. Goals: Increase reach by 37% in 1 years.,"national vocational education reform 33. this policy aims to improve infrastructure in early childhood through digital device distribution in delhi. goals: increase reach by 37% in 1 years.. stakeholders: teachers' unions, community leaders"
P1060,State Primary Education Reform 25,Early Childhood,Kerala,2024,All,Pilot,0.4,"State Education Department, Private Partners",0.338,This policy aims to improve infrastructure in Early Childhood through digital device distribution in Kerala.,Increase reach by 33% in 4 years.,This policy aims to improve infrastructure in Early Childhood through digital device distribution in Kerala. Goals: Increase reach by 33% in 4 years.,"state primary education reform 25. this policy aims to improve infrastructure in early childhood through digital device distribution in kerala. goals: increase reach by 33% in 4 years.. stakeholders: state education department, private partners"
P1112,District Higher Education Education Reform 18,Primary,Kerala,2023,Rural Students,Implemented,0.49,"Central Government, Donors",0.662,This policy aims to improve infrastructure in Primary through grants to schools in Kerala.,Increase reach by 34% in 1 years.,This policy aims to improve infrastructure in Primary through grants to schools in Kerala. Goals: Increase reach by 34% in 1 years.,"district higher education education reform 18. this policy aims to improve infrastructure in primary through grants to schools in kerala. goals: increase reach by 34% in 1 years.. stakeholders: central government, donors"
P1090,State Early Childhood Education Reform 57,Vocational,Delhi,2018,All,Proposed,54.39,"Teachers' Unions, Community Leaders",0.704,This policy aims to improve early childhood development in Vocational through curriculum reform in Delhi.,Increase reach by 38% in 3 years.,This policy aims to improve early childhood development in Vocational through curriculum reform in Delhi. Goals: Increase reach by 38% in 3 years.,"state early childhood education reform 57. this policy aims to improve early childhood development in vocational through curriculum reform in delhi. goals: increase reach by 38% in 3 years.. stakeholders: teachers' unions, community leaders"
P1437,District Primary Education Reform 81,Higher Education,Kerala,2021,Students,Implemented,6.76,"EdTech Companies, Universities",0.969,This policy aims to improve early childhood development in Higher Education through digital device distribution in Kerala.,Increase reach by 39% in 5 years.,This policy aims to improve early childhood development in Higher Education through digital device distribution in Kerala. Goals: Increase reach by 39% in 5 years.,"district primary education reform 81. this policy aims to improve early childhood development in higher education through digital device distribution in kerala. goals: increase reach by 39% in 5 years.. stakeholders: edtech companies, universities"
P1007,District Vocational Education Reform 51,Vocational,Tamil Nadu,2019,Teachers,Implemented,79.76,"Central Government, Donors",0.899,This policy aims to improve digital access in Vocational through digital device distribution in Tamil Nadu.,Increase reach by 19% in 2 years.,This policy aims to improve digital access in Vocational through digital device distribution in Tamil Nadu. Goals: Increase reach by 19% in 2 years.,"district vocational education reform 51. this policy aims to improve digital access in vocational through digital device distribution in tamil nadu. goals: increase reach by 19% in 2 years.. stakeholders: central government, donors"
P1361,National Higher Education Education Reform 68,Primary,Kerala,2023,Women,Implemented,60.19,"State Education Department, Private Partners",0.236,This policy aims to improve vocational skills in Primary through public-private partnerships in Kerala.,Increase reach by 30% in 4 years.,This policy aims to improve vocational skills in Primary through public-private partnerships in Kerala. Goals: Increase reach by 30% in 4 years.,"national higher education education reform 68. this policy aims to improve vocational skills in primary through public-private partnerships in kerala. goals: increase reach by 30% in 4 years.. stakeholders: state education department, private partners"
P1347,State Early Childhood Education Reform 83,Higher Education,Gujarat,2018,Students,Pilot,77.95,"Teachers' Unions, Community Leaders",0.9,This policy aims to improve digital access in Higher Education through public-private partnerships in Gujarat.,Increase reach by 33% in 5 years.,This policy aims to improve digital access in Higher Education through public-private partnerships in Gujarat. Goals: Increase reach by 33% in 5 years.,"state early childhood education reform 83. this policy aims to improve digital access in higher education through public-private partnerships in gujarat. goals: increase reach by 33% in 5 years.. stakeholders: teachers' unions, community leaders"
P1339,National Higher Education Education Reform 11,Vocational,Uttar Pradesh,2023,All,Under Review,71.88,"EdTech Companies, Universities",0.82,This policy aims to improve digital access in Vocational through teacher training programs in Uttar Pradesh.,Increase reach by 9% in 2 years.,This policy aims to improve digital access in Vocational through teacher training programs in Uttar Pradesh. Goals: Increase reach by 9% in 2 years.,"national higher education education reform 11. this policy aims to improve digital access in vocational through teacher training programs in uttar pradesh. goals: increase reach by 9% in 2 years.. stakeholders: edtech companies, universities"
P1159,National Higher Education Education Reform 49,Early Childhood,Punjab,2015,All,Proposed,17.07,"EdTech Companies, Universities",0.745,This policy aims to improve early childhood development in Early Childhood through teacher training programs in Punjab.,Increase reach by 35% in 2 years.,This policy aims to improve early childhood development in Early Childhood through teacher training programs in Punjab. Goals: Increase reach by 35% in 2 years.,"national higher education education reform 49. this policy aims to improve early childhood development in early childhood through teacher training programs in punjab. goals: increase reach by 35% in 2 years.. stakeholders: edtech companies, universities"
P1151,District Primary Education Reform 6,Vocational,Kerala,2016,Women,Proposed,4.94,"Central Government, Donors",0.128,This policy aims to improve digital access in Vocational through teacher training programs in Kerala.,Increase reach by 13% in 4 years.,This policy aims to improve digital access in Vocational through teacher training programs in Kerala. Goals: Increase reach by 13% in 4 years.,"district primary education reform 6. this policy aims to improve digital access in vocational through teacher training programs in kerala. goals: increase reach by 13% in 4 years.. stakeholders: central government, donors"
