policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text
P1121,District Secondary Education Reform 16,Secondary,Tamil Nadu,2018,All,Pilot,2.12,"EdTech Companies, Universities",0.428,This policy aims to improve early childhood development in Secondary through teacher training programs in Tamil Nadu.,Increase reach by 10% in 1 years.,This policy aims to improve early childhood development in Secondary through teacher training programs in Tamil Nadu. Goals: Increase reach by 10% in 1 years.
P1122,State Vocational Education Reform 92,Vocational,Rajasthan,2021,All,Pilot,1.06,"Teachers' Unions, Community Leaders",0.672,This policy aims to improve digital access in Vocational through curriculum reform in Rajasthan.,Increase reach by 38% in 3 years.,This policy aims to improve digital access in Vocational through curriculum reform in Rajasthan. Goals: Increase reach by 38% in 3 years.
P1123,National Early Childhood Education Reform 82,Early Childhood,Tamil Nadu,2017,Urban Students,Proposed,2.83,"Teachers' Unions, Community Leaders",0.247,This policy aims to improve teacher quality in Early Childhood through public-private partnerships in Tamil Nadu.,Increase reach by 19% in 3 years.,This policy aims to improve teacher quality in Early Childhood through public-private partnerships in Tamil Nadu. Goals: Increase reach by 19% in 3 years.
P1124,District Higher Education Education Reform 11,Higher Education,Uttar Pradesh,2025,Women,Under Review,14.38,"EdTech Companies, Universities",0.575,This policy aims to improve early childhood development in Higher Education through public-private partnerships in Uttar Pradesh.,Increase reach by 15% in 5 years.,This policy aims to improve early childhood development in Higher Education through public-private partnerships in Uttar Pradesh. Goals: Increase reach by 15% in 5 years.
P1125,District Secondary Education Reform 22,Early Childhood,Punjab,2020,All,Proposed,0.87,"EdTech Companies, Universities",0.336,This policy aims to improve infrastructure in Early Childhood through scholarship schemes in Punjab.,Increase reach by 31% in 5 years.,This policy aims to improve infrastructure in Early Childhood through scholarship schemes in Punjab. Goals: Increase reach by 31% in 5 years.
P1126,District Primary Education Reform 64,Early Childhood,Delhi,2025,Rural Students,Pilot,17.07,"Central Government, Donors",0.365,This policy aims to improve learning outcomes in Early Childhood through public-private partnerships in Delhi.,Increase reach by 8% in 2 years.,This policy aims to improve learning outcomes in Early Childhood through public-private partnerships in Delhi. Goals: Increase reach by 8% in 2 years.
P1127,State Vocational Education Reform 62,Vocational,Uttar Pradesh,2020,Women,Implemented,88.92,"Teachers' Unions, Community Leaders",0.753,This policy aims to improve teacher quality in Vocational through curriculum reform in Uttar Pradesh.,Increase reach by 13% in 3 years.,This policy aims to improve teacher quality in Vocational through curriculum reform in Uttar Pradesh. Goals: Increase reach by 13% in 3 years.
P1128,District Early Childhood Education Reform 14,Higher Education,Uttar Pradesh,2022,Students,Under Review,0.2,"Ministry of Education, Local NGOs",0.145,This policy aims to improve digital access in Higher Education through scholarship schemes in Uttar Pradesh.,Increase reach by 31% in 2 years.,This policy aims to improve digital access in Higher Education through scholarship schemes in Uttar Pradesh. Goals: Increase reach by 31% in 2 years.
P1129,National Higher Education Education Reform 74,Higher Education,Uttar Pradesh,2017,Urban Students,Pilot,0.45,"Central Government, Donors",0.121,This policy aims to improve digital access in Higher Education through scholarship schemes in Uttar Pradesh.,Increase reach by 34% in 2 years.,This policy aims to improve digital access in Higher Education through scholarship schemes in Uttar Pradesh. Goals: Increase reach by 34% in 2 years.
P1130,National Early Childhood Education Reform 46,Primary,Karnataka,2019,Urban Students,Pilot,62.94,"Ministry of Education, Local NGOs",0.484,This policy aims to improve teacher quality in Primary through public-private partnerships in Karnataka.,Increase reach by 28% in 4 years.,This policy aims to improve teacher quality in Primary through public-private partnerships in Karnataka. Goals: Increase reach by 28% in 4 years.
P1131,State Primary Education Reform 52,Primary,Punjab,2023,Teachers,Under Review,25.88,"EdTech Companies, Universities",0.501,This policy aims to improve early childhood development in Primary through digital device distribution in Punjab.,Increase reach by 12% in 2 years.,This policy aims to improve early childhood development in Primary through digital device distribution in Punjab. Goals: Increase reach by 12% in 2 years.
P1132,National Vocational Education Reform 48,Higher Education,Rajasthan,2020,All,Implemented,14.04,"Central Government, Donors",0.545,This policy aims to improve learning outcomes in Higher Education through grants to schools in Rajasthan.,Increase reach by 13% in 3 years.,This policy aims to improve learning outcomes in Higher Education through grants to schools in Rajasthan. Goals: Increase reach by 13% in 3 years.
P1133,State Early Childhood Education Reform 59,Secondary,Punjab,2023,Teachers,Under Review,33.0,"EdTech Companies, Universities",0.758,This policy aims to improve teacher quality in Secondary through scholarship schemes in Punjab.,Increase reach by 26% in 5 years.,This policy aims to improve teacher quality in Secondary through scholarship schemes in Punjab. Goals: Increase reach by 26% in 5 years.
P1134,District Early Childhood Education Reform 63,Early Childhood,Delhi,2022,All,Proposed,46.5,"Ministry of Education, Local NGOs",0.972,This policy aims to improve early childhood development in Early Childhood through digital device distribution in Delhi.,Increase reach by 6% in 5 years.,This policy aims to improve early childhood development in Early Childhood through digital device distribution in Delhi. Goals: Increase reach by 6% in 5 years.
P1135,State Higher Education Education Reform 84,Early Childhood,Punjab,2018,Disadvantaged Groups,Proposed,0.17,"EdTech Companies, Universities",0.789,This policy aims to improve digital access in Early Childhood through teacher training programs in Punjab.,Increase reach by 20% in 1 years.,This policy aims to improve digital access in Early Childhood through teacher training programs in Punjab. Goals: Increase reach by 20% in 1 years.
P1136,District Primary Education Reform 25,Primary,Gujarat,2020,Urban Students,Implemented,0.38,"Central Government, Donors",0.547,This policy aims to improve early childhood development in Primary through curriculum reform in Gujarat.,Increase reach by 8% in 2 years.,This policy aims to improve early childhood development in Primary through curriculum reform in Gujarat. Goals: Increase reach by 8% in 2 years.
P1137,District Secondary Education Reform 72,Higher Education,Gujarat,2023,Urban Students,Under Review,11.89,"EdTech Companies, Universities",0.405,This policy aims to improve teacher quality in Higher Education through public-private partnerships in Gujarat.,Increase reach by 21% in 5 years.,This policy aims to improve teacher quality in Higher Education through public-private partnerships in Gujarat. Goals: Increase reach by 21% in 5 years.
P1138,State Secondary Education Reform 32,Higher Education,Rajasthan,2019,Teachers,Under Review,76.39,"Central Government, Donors",0.382,This policy aims to improve teacher quality in Higher Education through scholarship schemes in Rajasthan.,Increase reach by 22% in 3 years.,This policy aims to improve teacher quality in Higher Education through scholarship schemes in Rajasthan. Goals: Increase reach by 22% in 3 years.
P1139,National Early Childhood Education Reform 87,Early Childhood,West Bengal,2021,All,Under Review,9.36,"Teachers' Unions, Community Leaders",0.95,This policy aims to improve learning outcomes in Early Childhood through digital device distribution in West Bengal.,Increase reach by 33% in 3 years.,This policy aims to improve learning outcomes in Early Childhood through digital device distribution in West Bengal. Goals: Increase reach by 33% in 3 years.
P1140,District Vocational Education Reform 28,Secondary,Rajasthan,2019,Women,Under Review,6.64,"EdTech Companies, Universities",0.313,This policy aims to improve learning outcomes in Secondary through public-private partnerships in Rajasthan.,Increase reach by 38% in 2 years.,This policy aims to improve learning outcomes in Secondary through public-private partnerships in Rajasthan. Goals: Increase reach by 38% in 2 years.
P1141,District Secondary Education Reform 7,Primary,West Bengal,2020,Disadvantaged Groups,Pilot,3.57,"State Education Department, Private Partners",0.105,This policy aims to improve early childhood development in Primary through teacher training programs in West Bengal.,Increase reach by 31% in 4 years.,This policy aims to improve early childhood development in Primary through teacher training programs in West Bengal. Goals: Increase reach by 31% in 4 years.
P1142,State Secondary Education Reform 97,Higher Education,Kerala,2019,Disadvantaged Groups,Proposed,3.44,"State Education Department, Private Partners",0.576,This policy aims to improve vocational skills in Higher Education through grants to schools in Kerala.,Increase reach by 16% in 4 years.,This policy aims to improve vocational skills in Higher Education through grants to schools in Kerala. Goals: Increase reach by 16% in 4 years.
P1143,National Primary Education Reform 51,Vocational,Tamil Nadu,2019,Students,Proposed,65.44,"Ministry of Education, Local NGOs",0.926,This policy aims to improve teacher quality in Vocational through digital device distribution in Tamil Nadu.,Increase reach by 34% in 5 years.,This policy aims to improve teacher quality in Vocational through digital device distribution in Tamil Nadu. Goals: Increase reach by 34% in 5 years.
P1144,District Vocational Education Reform 18,Early Childhood,Gujarat,2019,Teachers,Proposed,33.0,"Central Government, Donors",0.677,This policy aims to improve vocational skills in Early Childhood through teacher training programs in Gujarat.,Increase reach by 5% in 3 years.,This policy aims to improve vocational skills in Early Childhood through teacher training programs in Gujarat. Goals: Increase reach by 5% in 3 years.
P1145,State Early Childhood Education Reform 87,Secondary,Tamil Nadu,2024,All,Pilot,0.31,"Ministry of Education, Local NGOs",0.457,This policy aims to improve learning outcomes in Secondary through teacher training programs in Tamil Nadu.,Increase reach by 13% in 4 years.,This policy aims to improve learning outcomes in Secondary through teacher training programs in Tamil Nadu. Goals: Increase reach by 13% in 4 years.
P1146,State Secondary Education Reform 1,Higher Education,West Bengal,2018,Urban Students,Under Review,44.16,"EdTech Companies, Universities",0.11,This policy aims to improve vocational skills in Higher Education through digital device distribution in West Bengal.,Increase reach by 20% in 1 years.,This policy aims to improve vocational skills in Higher Education through digital device distribution in West Bengal. Goals: Increase reach by 20% in 1 years.
P1147,District Primary Education Reform 60,Higher Education,Tamil Nadu,2021,Disadvantaged Groups,Under Review,3.37,"Teachers' Unions, Community Leaders",0.427,This policy aims to improve infrastructure in Higher Education through teacher training programs in Tamil Nadu.,Increase reach by 13% in 4 years.,This policy aims to improve infrastructure in Higher Education through teacher training programs in Tamil Nadu. Goals: Increase reach by 13% in 4 years.
P1148,National Vocational Education Reform 96,Early Childhood,Kerala,2021,Disadvantaged Groups,Pilot,16.43,"EdTech Companies, Universities",0.877,This policy aims to improve learning outcomes in Early Childhood through scholarship schemes in Kerala.,Increase reach by 33% in 5 years.,This policy aims to improve learning outcomes in Early Childhood through scholarship schemes in Kerala. Goals: Increase reach by 33% in 5 years.
P1149,District Higher Education Education Reform 10,Early Childhood,Maharashtra,2015,All,Implemented,7.47,"EdTech Companies, Universities",0.493,This policy aims to improve vocational skills in Early Childhood through teacher training programs in Maharashtra.,Increase reach by 36% in 1 years.,This policy aims to improve vocational skills in Early Childhood through teacher training programs in Maharashtra. Goals: Increase reach by 36% in 1 years.
P1150,District Vocational Education Reform 8,Vocational,Tamil Nadu,2023,Urban Students,Pilot,3.01,"Teachers' Unions, Community Leaders",0.744,This policy aims to improve digital access in Vocational through digital device distribution in Tamil Nadu.,Increase reach by 5% in 2 years.,This policy aims to improve digital access in Vocational through digital device distribution in Tamil Nadu. Goals: Increase reach by 5% in 2 years.
P1151,District Primary Education Reform 6,Vocational,Kerala,2016,Women,Proposed,4.94,"Central Government, Donors",0.128,This policy aims to improve digital access in Vocational through teacher training programs in Kerala.,Increase reach by 13% in 4 years.,This policy aims to improve digital access in Vocational through teacher training programs in Kerala. Goals: Increase reach by 13% in 4 years.
P1152,State Vocational Education Reform 58,Vocational,West Bengal,2016,Disadvantaged Groups,Implemented,29.49,"EdTech Companies, Universities",0.45,This policy aims to improve infrastructure in Vocational through public-private partnerships in West Bengal.,Increase reach by 19% in 1 years.,This policy aims to improve infrastructure in Vocational through public-private partnerships in West Bengal. Goals: Increase reach by 19% in 1 years.
P1153,National Higher Education Education Reform 60,Early Childhood,West Bengal,2023,Urban Students,Implemented,11.91,"State Education Department, Private Partners",0.345,This policy aims to improve vocational skills in Early Childhood through grants to schools in West Bengal.,Increase reach by 7% in 4 years.,This policy aims to improve vocational skills in Early Childhood through grants to schools in West Bengal. Goals: Increase reach by 7% in 4 years.
P1154,District Primary Education Reform 31,Secondary,Maharashtra,2016,Women,Proposed,0.34,"Ministry of Education, Local NGOs",0.318,This policy aims to improve learning outcomes in Secondary through curriculum reform in Maharashtra.,Increase reach by 33% in 2 years.,This policy aims to improve learning outcomes in Secondary through curriculum reform in Maharashtra. Goals: Increase reach by 33% in 2 years.
P1155,District Secondary Education Reform 97,Primary,Tamil Nadu,2023,Rural Students,Implemented,66.2,"Teachers' Unions, Community Leaders",0.311,This policy aims to improve infrastructure in Primary through public-private partnerships in Tamil Nadu.,Increase reach by 38% in 2 years.,This policy aims to improve infrastructure in Primary through public-private partnerships in Tamil Nadu. Goals: Increase reach by 38% in 2 years.
P1156,State Higher Education Education Reform 36,Primary,Rajasthan,2024,Disadvantaged Groups,Implemented,0.32,"Ministry of Education, Local NGOs",0.965,This policy aims to improve vocational skills in Primary through public-private partnerships in Rajasthan.,Increase reach by 29% in 5 years.,This policy aims to improve vocational skills in Primary through public-private partnerships in Rajasthan. Goals: Increase reach by 29% in 5 years.
P1157,State Vocational Education Reform 53,Secondary,Delhi,2021,Teachers,Pilot,17.74,"Teachers' Unions, Community Leaders",0.863,This policy aims to improve infrastructure in Secondary through curriculum reform in Delhi.,Increase reach by 8% in 5 years.,This policy aims to improve infrastructure in Secondary through curriculum reform in Delhi. Goals: Increase reach by 8% in 5 years.
P1158,State Vocational Education Reform 72,Early Childhood,Tamil Nadu,2021,Teachers,Under Review,9.95,"Ministry of Education, Local NGOs",0.921,This policy aims to improve teacher quality in Early Childhood through grants to schools in Tamil Nadu.,Increase reach by 39% in 2 years.,This policy aims to improve teacher quality in Early Childhood through grants to schools in Tamil Nadu. Goals: Increase reach by 39% in 2 years.
P1159,National Higher Education Education Reform 49,Early Childhood,Punjab,2015,All,Proposed,17.07,"EdTech Companies, Universities",0.745,This policy aims to improve early childhood development in Early Childhood through teacher training programs in Punjab.,Increase reach by 35% in 2 years.,This policy aims to improve early childhood development in Early Childhood through teacher training programs in Punjab. Goals: Increase reach by 35% in 2 years.
P1160,State Higher Education Education Reform 2,Secondary,Uttar Pradesh,2016,Disadvantaged Groups,Pilot,15.43,"State Education Department, Private Partners",0.453,This policy aims to improve infrastructure in Secondary through scholarship schemes in Uttar Pradesh.,Increase reach by 25% in 3 years.,This policy aims to improve infrastructure in Secondary through scholarship schemes in Uttar Pradesh. Goals: Increase reach by 25% in 3 years.
P1161,State Vocational Education Reform 69,Higher Education,Delhi,2019,Rural Students,Pilot,0.14,"Central Government, Donors",0.778,This policy aims to improve teacher quality in Higher Education through teacher training programs in Delhi.,Increase reach by 28% in 3 years.,This policy aims to improve teacher quality in Higher Education through teacher training programs in Delhi. Goals: Increase reach by 28% in 3 years.
P1162,State Primary Education Reform 73,Secondary,Tamil Nadu,2015,Rural Students,Pilot,32.19,"Teachers' Unions, Community Leaders",0.305,This policy aims to improve early childhood development in Secondary through teacher training programs in Tamil Nadu.,Increase reach by 36% in 5 years.,This policy aims to improve early childhood development in Secondary through teacher training programs in Tamil Nadu. Goals: Increase reach by 36% in 5 years.
P1163,District Higher Education Education Reform 33,Vocational,Gujarat,2022,Teachers,Under Review,7.1,"EdTech Companies, Universities",0.535,This policy aims to improve early childhood development in Vocational through public-private partnerships in Gujarat.,Increase reach by 8% in 5 years.,This policy aims to improve early childhood development in Vocational through public-private partnerships in Gujarat. Goals: Increase reach by 8% in 5 years.
P1164,National Primary Education Reform 86,Primary,Karnataka,2021,Teachers,Implemented,3.68,"Ministry of Education, Local NGOs",0.295,This policy aims to improve digital access in Primary through digital device distribution in Karnataka.,Increase reach by 8% in 5 years.,This policy aims to improve digital access in Primary through digital device distribution in Karnataka. Goals: Increase reach by 8% in 5 years.
P1165,District Early Childhood Education Reform 62,Vocational,Karnataka,2015,Women,Pilot,0.58,"Teachers' Unions, Community Leaders",0.577,This policy aims to improve teacher quality in Vocational through grants to schools in Karnataka.,Increase reach by 37% in 4 years.,This policy aims to improve teacher quality in Vocational through grants to schools in Karnataka. Goals: Increase reach by 37% in 4 years.
P1166,National Primary Education Reform 13,Early Childhood,Tamil Nadu,2018,Teachers,Under Review,41.39,"Central Government, Donors",0.17,This policy aims to improve digital access in Early Childhood through curriculum reform in Tamil Nadu.,Increase reach by 20% in 2 years.,This policy aims to improve digital access in Early Childhood through curriculum reform in Tamil Nadu. Goals: Increase reach by 20% in 2 years.
P1167,State Primary Education Reform 84,Primary,Maharashtra,2021,Urban Students,Pilot,0.12,"Ministry of Education, Local NGOs",0.726,This policy aims to improve learning outcomes in Primary through curriculum reform in Maharashtra.,Increase reach by 32% in 3 years.,This policy aims to improve learning outcomes in Primary through curriculum reform in Maharashtra. Goals: Increase reach by 32% in 3 years.
P1168,District Primary Education Reform 68,Primary,Uttar Pradesh,2018,All,Pilot,23.72,"Ministry of Education, Local NGOs",0.709,This policy aims to improve teacher quality in Primary through scholarship schemes in Uttar Pradesh.,Increase reach by 7% in 2 years.,This policy aims to improve teacher quality in Primary through scholarship schemes in Uttar Pradesh. Goals: Increase reach by 7% in 2 years.
P1169,State Primary Education Reform 27,Early Childhood,Tamil Nadu,2021,Students,Under Review,13.46,"EdTech Companies, Universities",0.843,This policy aims to improve digital access in Early Childhood through public-private partnerships in Tamil Nadu.,Increase reach by 39% in 3 years.,This policy aims to improve digital access in Early Childhood through public-private partnerships in Tamil Nadu. Goals: Increase reach by 39% in 3 years.
P1170,State Secondary Education Reform 89,Primary,Rajasthan,2020,Students,Proposed,0.19,"Ministry of Education, Local NGOs",0.403,This policy aims to improve early childhood development in Primary through scholarship schemes in Rajasthan.,Increase reach by 30% in 3 years.,This policy aims to improve early childhood development in Primary through scholarship schemes in Rajasthan. Goals: Increase reach by 30% in 3 years.
P1171,National Higher Education Education Reform 58,Vocational,Uttar Pradesh,2020,Women,Pilot,0.17,"EdTech Companies, Universities",0.688,This policy aims to improve learning outcomes in Vocational through scholarship schemes in Uttar Pradesh.,Increase reach by 23% in 2 years.,This policy aims to improve learning outcomes in Vocational through scholarship schemes in Uttar Pradesh. Goals: Increase reach by 23% in 2 years.
P1172,District Primary Education Reform 11,Higher Education,Tamil Nadu,2021,Disadvantaged Groups,Implemented,0.23,"Ministry of Education, Local NGOs",0.181,This policy aims to improve teacher quality in Higher Education through curriculum reform in Tamil Nadu.,Increase reach by 28% in 3 years.,This policy aims to improve teacher quality in Higher Education through curriculum reform in Tamil Nadu. Goals: Increase reach by 28% in 3 years.
P1173,National Secondary Education Reform 12,Secondary,West Bengal,2022,Women,Pilot,0.62,"Teachers' Unions, Community Leaders",0.593,This policy aims to improve early childhood development in Secondary through scholarship schemes in West Bengal.,Increase reach by 25% in 4 years.,This policy aims to improve early childhood development in Secondary through scholarship schemes in West Bengal. Goals: Increase reach by 25% in 4 years.
P1174,National Higher Education Education Reform 53,Vocational,Maharashtra,2023,Teachers,Implemented,0.17,"Teachers' Unions, Community Leaders",0.368,This policy aims to improve digital access in Vocational through teacher training programs in Maharashtra.,Increase reach by 9% in 2 years.,This policy aims to improve digital access in Vocational through teacher training programs in Maharashtra. Goals: Increase reach by 9% in 2 years.
P1175,State Higher Education Education Reform 54,Higher Education,Gujarat,2016,Rural Students,Under Review,15.81,"Central Government, Donors",0.628,This policy aims to improve infrastructure in Higher Education through curriculum reform in Gujarat.,Increase reach by 11% in 2 years.,This policy aims to improve infrastructure in Higher Education through curriculum reform in Gujarat. Goals: Increase reach by 11% in 2 years.
P1176,State Primary Education Reform 51,Higher Education,Punjab,2021,All,Under Review,0.23,"EdTech Companies, Universities",0.221,This policy aims to improve teacher quality in Higher Education through scholarship schemes in Punjab.,Increase reach by 17% in 4 years.,This policy aims to improve teacher quality in Higher Education through scholarship schemes in Punjab. Goals: Increase reach by 17% in 4 years.
P1177,State Secondary Education Reform 51,Higher Education,Delhi,2025,Urban Students,Implemented,50.08,"Central Government, Donors",0.425,This policy aims to improve early childhood development in Higher Education through teacher training programs in Delhi.,Increase reach by 39% in 2 years.,This policy aims to improve early childhood development in Higher Education through teacher training programs in Delhi. Goals: Increase reach by 39% in 2 years.
P1178,District Early Childhood Education Reform 4,Vocational,Uttar Pradesh,2022,All,Under Review,4.19,"Central Government, Donors",0.699,This policy aims to improve infrastructure in Vocational through public-private partnerships in Uttar Pradesh.,Increase reach by 24% in 2 years.,This policy aims to improve infrastructure in Vocational through public-private partnerships in Uttar Pradesh. Goals: Increase reach by 24% in 2 years.
P1179,State Secondary Education Reform 92,Vocational,West Bengal,2016,Urban Students,Pilot,0.31,"Central Government, Donors",0.584,This policy aims to improve teacher quality in Vocational through public-private partnerships in West Bengal.,Increase reach by 39% in 5 years.,This policy aims to improve teacher quality in Vocational through public-private partnerships in West Bengal. Goals: Increase reach by 39% in 5 years.
P1180,District Primary Education Reform 14,Secondary,Kerala,2017,Disadvantaged Groups,Proposed,0.49,"Teachers' Unions, Community Leaders",0.959,This policy aims to improve digital access in Secondary through grants to schools in Kerala.,Increase reach by 5% in 1 years.,This policy aims to improve digital access in Secondary through grants to schools in Kerala. Goals: Increase reach by 5% in 1 years.
P1181,State Secondary Education Reform 66,Early Childhood,Rajasthan,2024,Disadvantaged Groups,Implemented,0.25,"Central Government, Donors",0.787,This policy aims to improve early childhood development in Early Childhood through public-private partnerships in Rajasthan.,Increase reach by 37% in 2 years.,This policy aims to improve early childhood development in Early Childhood through public-private partnerships in Rajasthan. Goals: Increase reach by 37% in 2 years.
P1182,State Primary Education Reform 62,Primary,Delhi,2021,Students,Proposed,10.22,"Teachers' Unions, Community Leaders",0.505,This policy aims to improve infrastructure in Primary through scholarship schemes in Delhi.,Increase reach by 35% in 3 years.,This policy aims to improve infrastructure in Primary through scholarship schemes in Delhi. Goals: Increase reach by 35% in 3 years.
P1183,State Primary Education Reform 57,Vocational,Kerala,2016,Rural Students,Proposed,0.6,"Teachers' Unions, Community Leaders",0.677,This policy aims to improve vocational skills in Vocational through teacher training programs in Kerala.,Increase reach by 20% in 5 years.,This policy aims to improve vocational skills in Vocational through teacher training programs in Kerala. Goals: Increase reach by 20% in 5 years.
P1184,National Early Childhood Education Reform 21,Higher Education,Rajasthan,2021,Urban Students,Implemented,0.35,"State Education Department, Private Partners",0.67,This policy aims to improve digital access in Higher Education through curriculum reform in Rajasthan.,Increase reach by 6% in 5 years.,This policy aims to improve digital access in Higher Education through curriculum reform in Rajasthan. Goals: Increase reach by 6% in 5 years.
P1185,National Vocational Education Reform 76,Vocational,West Bengal,2015,Disadvantaged Groups,Implemented,9.18,"Ministry of Education, Local NGOs",0.614,This policy aims to improve early childhood development in Vocational through teacher training programs in West Bengal.,Increase reach by 28% in 3 years.,This policy aims to improve early childhood development in Vocational through teacher training programs in West Bengal. Goals: Increase reach by 28% in 3 years.
P1186,National Vocational Education Reform 15,Higher Education,Gujarat,2023,Disadvantaged Groups,Under Review,0.34,"EdTech Companies, Universities",0.202,This policy aims to improve teacher quality in Higher Education through curriculum reform in Gujarat.,Increase reach by 16% in 3 years.,This policy aims to improve teacher quality in Higher Education through curriculum reform in Gujarat. Goals: Increase reach by 16% in 3 years.
P1187,District Early Childhood Education Reform 11,Secondary,Kerala,2016,Teachers,Under Review,1.32,"State Education Department, Private Partners",0.555,This policy aims to improve digital access in Secondary through scholarship schemes in Kerala.,Increase reach by 13% in 5 years.,This policy aims to improve digital access in Secondary through scholarship schemes in Kerala. Goals: Increase reach by 13% in 5 years.
P1188,State Vocational Education Reform 24,Vocational,Rajasthan,2025,Teachers,Implemented,0.22,"State Education Department, Private Partners",0.38,This policy aims to improve digital access in Vocational through scholarship schemes in Rajasthan.,Increase reach by 8% in 3 years.,This policy aims to improve digital access in Vocational through scholarship schemes in Rajasthan. Goals: Increase reach by 8% in 3 years.
P1189,National Vocational Education Reform 18,Secondary,West Bengal,2023,Women,Pilot,0.37,"Central Government, Donors",0.732,This policy aims to improve digital access in Secondary through curriculum reform in West Bengal.,Increase reach by 15% in 1 years.,This policy aims to improve digital access in Secondary through curriculum reform in West Bengal. Goals: Increase reach by 15% in 1 years.
P1190,District Primary Education Reform 98,Secondary,Delhi,2015,Rural Students,Implemented,33.46,"Central Government, Donors",0.603,This policy aims to improve digital access in Secondary through scholarship schemes in Delhi.,Increase reach by 37% in 1 years.,This policy aims to improve digital access in Secondary through scholarship schemes in Delhi. Goals: Increase reach by 37% in 1 years.
P1191,District Primary Education Reform 35,Early Childhood,Kerala,2023,All,Proposed,0.32,"Central Government, Donors",0.191,This policy aims to improve vocational skills in Early Childhood through teacher training programs in Kerala.,Increase reach by 24% in 1 years.,This policy aims to improve vocational skills in Early Childhood through teacher training programs in Kerala. Goals: Increase reach by 24% in 1 years.
P1192,State Higher Education Education Reform 45,Primary,Gujarat,2016,All,Implemented,17.16,"EdTech Companies, Universities",0.713,This policy aims to improve vocational skills in Primary through scholarship schemes in Gujarat.,Increase reach by 32% in 2 years.,This policy aims to improve vocational skills in Primary through scholarship schemes in Gujarat. Goals: Increase reach by 32% in 2 years.
P1193,District Secondary Education Reform 27,Secondary,Karnataka,2024,Rural Students,Under Review,9.85,"Teachers' Unions, Community Leaders",0.358,This policy aims to improve teacher quality in Secondary through scholarship schemes in Karnataka.,Increase reach by 11% in 2 years.,This policy aims to improve teacher quality in Secondary through scholarship schemes in Karnataka. Goals: Increase reach by 11% in 2 years.
P1194,State Primary Education Reform 36,Secondary,Tamil Nadu,2018,Teachers,Under Review,16.42,"Central Government, Donors",0.536,This policy aims to improve early childhood development in Secondary through public-private partnerships in Tamil Nadu.,Increase reach by 22% in 4 years.,This policy aims to improve early childhood development in Secondary through public-private partnerships in Tamil Nadu. Goals: Increase reach by 22% in 4 years.
P1195,State Vocational Education Reform 10,Primary,West Bengal,2023,Disadvantaged Groups,Under Review,56.38,"Central Government, Donors",0.391,This policy aims to improve learning outcomes in Primary through public-private partnerships in West Bengal.,Increase reach by 10% in 4 years.,This policy aims to improve learning outcomes in Primary through public-private partnerships in West Bengal. Goals: Increase reach by 10% in 4 years.
P1196,District Higher Education Education Reform 9,Early Childhood,West Bengal,2018,Urban Students,Implemented,0.21,"Teachers' Unions, Community Leaders",0.401,This policy aims to improve early childhood development in Early Childhood through teacher training programs in West Bengal.,Increase reach by 36% in 3 years.,This policy aims to improve early childhood development in Early Childhood through teacher training programs in West Bengal. Goals: Increase reach by 36% in 3 years.
P1197,District Primary Education Reform 6,Primary,Gujarat,2015,Students,Implemented,0.28,"Central Government, Donors",0.28,This policy aims to improve vocational skills in Primary through teacher training programs in Gujarat.,Increase reach by 24% in 2 years.,This policy aims to improve vocational skills in Primary through teacher training programs in Gujarat. Goals: Increase reach by 24% in 2 years.
P1198,State Primary Education Reform 84,Higher Education,Delhi,2016,Rural Students,Implemented,2.28,"Teachers' Unions, Community Leaders",0.746,This policy aims to improve infrastructure in Higher Education through curriculum reform in Delhi.,Increase reach by 10% in 1 years.,This policy aims to improve infrastructure in Higher Education through curriculum reform in Delhi. Goals: Increase reach by 10% in 1 years.
P1199,National Secondary Education Reform 62,Primary,Tamil Nadu,2024,Teachers,Pilot,0.54,"Teachers' Unions, Community Leaders",0.827,This policy aims to improve digital access in Primary through public-private partnerships in Tamil Nadu.,Increase reach by 13% in 4 years.,This policy aims to improve digital access in Primary through public-private partnerships in Tamil Nadu. Goals: Increase reach by 13% in 4 years.
P1200,National Secondary Education Reform 50,Primary,Maharashtra,2016,Rural Students,Under Review,30.97,"State Education Department, Private Partners",0.671,This policy aims to improve vocational skills in Primary through teacher training programs in Maharashtra.,Increase reach by 9% in 5 years.,This policy aims to improve vocational skills in Primary through teacher training programs in Maharashtra. Goals: Increase reach by 9% in 5 years.
P1201,District Primary Education Reform 79,Secondary,Gujarat,2020,Disadvantaged Groups,Implemented,18.8,"EdTech Companies, Universities",0.711,This policy aims to improve infrastructure in Secondary through grants to schools in Gujarat.,Increase reach by 11% in 2 years.,This policy aims to improve infrastructure in Secondary through grants to schools in Gujarat. Goals: Increase reach by 11% in 2 years.
P1202,National Early Childhood Education Reform 94,Vocational,Kerala,2021,Rural Students,Implemented,9.15,"Ministry of Education, Local NGOs",0.321,This policy aims to improve early childhood development in Vocational through scholarship schemes in Kerala.,Increase reach by 23% in 1 years.,This policy aims to improve early childhood development in Vocational through scholarship schemes in Kerala. Goals: Increase reach by 23% in 1 years.
